DATE,KSNGSP
1997-01-01,74669.9
1998-01-01,78384.9
1999-01-01,81669.8
2000-01-01,85820.7
2001-01-01,88594.7
2002-01-01,91049.7
2003-01-01,94630.2
2004-01-01,98013.9
2005-01-01,103966.3
2006-01-01,112634.0
2007-01-01,122349.1
2008-01-01,127824.5
2009-01-01,124779.5
2010-01-01,127970.4
2011-01-01,135528.5
2012-01-01,140764.1
2013-01-01,143065.8
2014-01-01,148942.7
2015-01-01,154015.6
2016-01-01,159232.8
2017-01-01,163968.3
2018-01-01,171718.8
2019-01-01,176493.1
2020-01-01,173298.3
