DATE,MONGSP
1997-01-01,163003.6
1998-01-01,169505.2
1999-01-01,177747.5
2000-01-01,186785.2
2001-01-01,190570.8
2002-01-01,196764.8
2003-01-01,205194.2
2004-01-01,215413.2
2005-01-01,225089.0
2006-01-01,232906.3
2007-01-01,240391.9
2008-01-01,251691.6
2009-01-01,251402.6
2010-01-01,257897.4
2011-01-01,259645.0
2012-01-01,268861.9
2013-01-01,277394.2
2014-01-01,284237.2
2015-01-01,293938.3
2016-01-01,297752.6
2017-01-01,305471.4
2018-01-01,317949.1
2019-01-01,328400.6
2020-01-01,321708.8
