DATE,SCNGSP
1997-01-01,97423.1
1998-01-01,103467.0
1999-01-01,110095.7
2000-01-01,115176.6
2001-01-01,119290.0
2002-01-01,124178.0
2003-01-01,130313.7
2004-01-01,135143.4
2005-01-01,142615.1
2006-01-01,150661.4
2007-01-01,159101.4
2008-01-01,161797.9
2009-01-01,159911.4
2010-01-01,163844.0
2011-01-01,170077.9
2012-01-01,175328.5
2013-01-01,182837.0
2014-01-01,191981.5
2015-01-01,204000.4
2016-01-01,213584.6
2017-01-01,223414.0
2018-01-01,235286.9
2019-01-01,247543.8
2020-01-01,241688.7
