DATE,MINGSP
1997-01-01,299692.9
1998-01-01,312667.6
1999-01-01,337834.5
2000-01-01,351641.3
2001-01-01,348642.7
2002-01-01,362311.0
2003-01-01,372965.9
2004-01-01,381443.4
2005-01-01,394141.2
2006-01-01,395685.3
2007-01-01,403717.4
2008-01-01,385990.3
2009-01-01,365552.7
2010-01-01,386629.8
2011-01-01,401069.1
2012-01-01,418742.3
2013-01-01,433755.8
2014-01-01,448572.1
2015-01-01,473149.5
2016-01-01,488962.6
2017-01-01,501914.9
2018-01-01,521803.4
2019-01-01,536888.3
2020-01-01,515928.3
