DATE,SDNGSP
1997-01-01,19036.2
1998-01-01,20216.8
1999-01-01,21045.5
2000-01-01,22669.2
2001-01-01,23406.1
2002-01-01,26164.5
2003-01-01,27196.8
2004-01-01,29030.5
2005-01-01,30535.0
2006-01-01,31824.1
2007-01-01,34816.0
2008-01-01,36475.6
2009-01-01,36341.5
2010-01-01,37709.2
2011-01-01,41690.2
2012-01-01,43550.7
2013-01-01,44956.5
2014-01-01,46369.9
2015-01-01,47630.5
2016-01-01,48731.3
2017-01-01,50342.9
2018-01-01,53239.0
2019-01-01,54940.9
2020-01-01,54852.1
