DATE,FLNGSP
1997-01-01,401688.9
1998-01-01,429188.3
1999-01-01,456797.9
2000-01-01,488466.1
2001-01-01,516558.8
2002-01-01,548397.8
2003-01-01,583447.2
2004-01-01,636087.5
2005-01-01,697260.1
2006-01-01,744660.6
2007-01-01,768568.1
2008-01-01,750972.8
2009-01-01,725658.1
2010-01-01,738242.3
2011-01-01,746535.3
2012-01-01,768722.9
2013-01-01,800886.0
2014-01-01,840386.4
2015-01-01,897754.7
2016-01-01,941561.2
2017-01-01,990096.6
2018-01-01,1050298.4
2019-01-01,1106500.1
2020-01-01,1095888.2
