DATE,WANGSP
1997-01-01,193770.2
1998-01-01,209710.4
1999-01-01,230237.4
2000-01-01,238137.1
2001-01-01,239763.4
2002-01-01,248152.7
2003-01-01,257830.2
2004-01-01,269983.0
2005-01-01,295858.7
2006-01-01,317313.8
2007-01-01,346491.1
2008-01-01,355596.6
2009-01-01,353705.5
2010-01-01,365799.7
2011-01-01,379796.4
2012-01-01,400623.3
2013-01-01,419671.3
2014-01-01,442930.0
2015-01-01,471702.8
2016-01-01,493634.5
2017-01-01,527707.5
2018-01-01,575416.7
2019-01-01,612996.5
2020-01-01,618704.9
