DATE,MTNGSP
1997-01-01,19323.1
1998-01-01,20450.0
1999-01-01,20821.0
2000-01-01,21878.4
2001-01-01,22793.3
2002-01-01,23868.0
2003-01-01,25647.4
2004-01-01,27894.9
2005-01-01,30528.0
2006-01-01,32967.0
2007-01-01,36090.7
2008-01-01,36814.5
2009-01-01,36031.8
2010-01-01,38103.2
2011-01-01,40616.4
2012-01-01,42041.6
2013-01-01,43136.8
2014-01-01,44608.4
2015-01-01,46269.3
2016-01-01,45680.3
2017-01-01,47946.9
2018-01-01,50692.3
2019-01-01,52934.6
2020-01-01,51488.7
