DATE,OHNGSP
1997-01-01,343084.8
1998-01-01,361511.6
1999-01-01,375814.4
2000-01-01,391320.8
2001-01-01,395710.0
2002-01-01,411148.4
2003-01-01,424426.6
2004-01-01,445410.3
2005-01-01,465892.9
2006-01-01,477200.7
2007-01-01,490823.7
2008-01-01,491609.1
2009-01-01,478023.5
2010-01-01,496457.7
2011-01-01,523355.0
2012-01-01,540882.4
2013-01-01,560936.8
2014-01-01,592876.2
2015-01-01,609321.7
2016-01-01,621542.6
2017-01-01,642351.4
2018-01-01,675029.7
2019-01-01,695361.6
2020-01-01,675037.3
