DATE,DCNGSP
1997-01-01,52483.3
1998-01-01,54780.2
1999-01-01,58751.3
2000-01-01,61033.2
2001-01-01,65518.4
2002-01-01,70072.6
2003-01-01,74178.3
2004-01-01,80557.4
2005-01-01,85349.2
2006-01-01,88580.5
2007-01-01,94036.8
2008-01-01,99532.3
2009-01-01,100916.9
2010-01-01,106097.8
2011-01-01,109998.8
2012-01-01,112610.0
2013-01-01,115021.1
2014-01-01,119722.8
2015-01-01,124853.7
2016-01-01,129477.1
2017-01-01,132853.6
2018-01-01,138773.5
2019-01-01,143389.3
2020-01-01,143532.7
