DATE,UTNGSP
1997-01-01,57686.4
1998-01-01,62288.5
1999-01-01,66038.5
2000-01-01,70383.8
2001-01-01,73392.0
2002-01-01,76159.1
2003-01-01,79138.0
2004-01-01,85783.4
2005-01-01,94303.0
2006-01-01,106028.3
2007-01-01,114657.1
2008-01-01,115885.0
2009-01-01,113517.8
2010-01-01,118098.3
2011-01-01,124689.9
2012-01-01,128764.2
2013-01-01,134529.5
2014-01-01,141528.0
2015-01-01,148917.8
2016-01-01,157442.7
2017-01-01,167613.4
2018-01-01,181622.7
2019-01-01,192519.2
2020-01-01,194985.8
