DATE,ORNGSP
1997-01-01,100927.9
1998-01-01,105142.7
1999-01-01,107564.3
2000-01-01,117291.2
2001-01-01,117295.4
2002-01-01,121200.6
2003-01-01,127153.5
2004-01-01,136304.4
2005-01-01,143592.0
2006-01-01,155166.1
2007-01-01,161431.6
2008-01-01,165050.8
2009-01-01,160574.9
2010-01-01,163827.0
2011-01-01,170620.6
2012-01-01,174427.6
2013-01-01,179389.5
2014-01-01,188777.5
2015-01-01,202718.6
2016-01-01,214617.5
2017-01-01,227042.2
2018-01-01,241978.1
2019-01-01,253623.2
2020-01-01,250458.5
