DATE,PANGSP
1997-01-01,356720.2
1998-01-01,373707.8
1999-01-01,390499.0
2000-01-01,408203.4
2001-01-01,424772.9
2002-01-01,436474.1
2003-01-01,454517.0
2004-01-01,480811.1
2005-01-01,504870.6
2006-01-01,525666.1
2007-01-01,559142.6
2008-01-01,581527.3
2009-01-01,576963.5
2010-01-01,599025.1
2011-01-01,618555.4
2012-01-01,640663.1
2013-01-01,663334.5
2014-01-01,691173.2
2015-01-01,711787.2
2016-01-01,726884.5
2017-01-01,745140.8
2018-01-01,778374.6
2019-01-01,808737.5
2020-01-01,780176.1
