DATE,MANGSP
1997-01-01,237050.7
1998-01-01,249235.5
1999-01-01,265143.2
2000-01-01,289653.4
2001-01-01,297918.4
2002-01-01,303990.3
2003-01-01,315958.1
2004-01-01,330936.7
2005-01-01,346084.7
2006-01-01,361657.3
2007-01-01,380288.4
2008-01-01,388099.9
2009-01-01,391272.9
2010-01-01,410187.5
2011-01-01,426013.2
2012-01-01,444478.2
2013-01-01,455653.3
2014-01-01,473052.0
2015-01-01,503178.5
2016-01-01,519143.5
2017-01-01,539973.4
2018-01-01,570464.2
2019-01-01,596593.1
2020-01-01,584039.0
