DATE,MENGSP
1997-01-01,30623.5
1998-01-01,32159.3
1999-01-01,34379.1
2000-01-01,36840.9
2001-01-01,38499.2
2002-01-01,40185.5
2003-01-01,41842.2
2004-01-01,44525.7
2005-01-01,45869.8
2006-01-01,47929.5
2007-01-01,49163.3
2008-01-01,49978.5
2009-01-01,50567.9
2010-01-01,51724.3
2011-01-01,51867.1
2012-01-01,52866.6
2013-01-01,53670.7
2014-01-01,55826.7
2015-01-01,57559.8
2016-01-01,59754.2
2017-01-01,61671.5
2018-01-01,64557.0
2019-01-01,67717.1
2020-01-01,66196.0
