DATE,VTNGSP
1997-01-01,15451.6
1998-01-01,16080.3
1999-01-01,17161.8
2000-01-01,18312.7
2001-01-01,19271.8
2002-01-01,20161.5
2003-01-01,21124.0
2004-01-01,22657.8
2005-01-01,23500.9
2006-01-01,24304.7
2007-01-01,24689.3
2008-01-01,25667.8
2009-01-01,25870.7
2010-01-01,27113.3
2011-01-01,28134.6
2012-01-01,28893.6
2013-01-01,28966.0
2014-01-01,29690.7
2015-01-01,30663.7
2016-01-01,31430.4
2017-01-01,32040.7
2018-01-01,32981.0
2019-01-01,34013.4
2020-01-01,32796.7
