DATE,MNNGSP
1997-01-01,156282.5
1998-01-01,166873.8
1999-01-01,175155.9
2000-01-01,190894.1
2001-01-01,195282.3
2002-01-01,202853.9
2003-01-01,214847.2
2004-01-01,230245.2
2005-01-01,243069.9
2006-01-01,250156.6
2007-01-01,259296.2
2008-01-01,264866.4
2009-01-01,260513.1
2010-01-01,272636.0
2011-01-01,285408.1
2012-01-01,296272.5
2013-01-01,308784.5
2014-01-01,322690.2
2015-01-01,333065.8
2016-01-01,341696.3
2017-01-01,353416.4
2018-01-01,371929.7
2019-01-01,383777.0
2020-01-01,374351.8
