DATE,CONGSP
1997-01-01,136916.6
1998-01-01,150364.4
1999-01-01,164132.0
2000-01-01,180693.3
2001-01-01,187546.2
2002-01-01,191062.2
2003-01-01,196768.6
2004-01-01,204374.6
2005-01-01,220307.4
2006-01-01,231256.3
2007-01-01,246151.0
2008-01-01,255830.2
2009-01-01,248669.1
2010-01-01,255660.7
2011-01-01,264310.2
2012-01-01,273593.9
2013-01-01,288383.5
2014-01-01,305690.9
2015-01-01,317992.4
2016-01-01,327757.3
2017-01-01,348175.5
2018-01-01,372452.9
2019-01-01,392986.0
2020-01-01,390098.7
