DATE,NVNGSP
1997-01-01,60221.3
1998-01-01,65105.4
1999-01-01,71444.7
2000-01-01,76654.2
2001-01-01,80380.2
2002-01-01,84786.0
2003-01-01,90367.5
2004-01-01,103445.9
2005-01-01,117056.1
2006-01-01,127008.3
2007-01-01,131492.6
2008-01-01,129095.5
2009-01-01,120987.7
2010-01-01,123652.3
2011-01-01,126675.6
2012-01-01,127789.1
2013-01-01,130686.6
2014-01-01,134518.4
2015-01-01,143554.0
2016-01-01,150287.3
2017-01-01,158502.8
2018-01-01,169179.6
2019-01-01,178199.4
2020-01-01,172597.6
