DATE,INNGSP
1997-01-01,170481.1
1998-01-01,184395.0
1999-01-01,192765.5
2000-01-01,203356.8
2001-01-01,204705.6
2002-01-01,212438.6
2003-01-01,223500.2
2004-01-01,236921.3
2005-01-01,243862.2
2006-01-01,255462.9
2007-01-01,269071.3
2008-01-01,273140.1
2009-01-01,261500.2
2010-01-01,280497.0
2011-01-01,288942.9
2012-01-01,297816.1
2013-01-01,308725.4
2014-01-01,325008.3
2015-01-01,329527.7
2016-01-01,337217.2
2017-01-01,350436.3
2018-01-01,368424.5
2019-01-01,379684.1
2020-01-01,372636.7
