DATE,NMNGSP
1997-01-01,52502.5
1998-01-01,50674.9
1999-01-01,53082.3
2000-01-01,55239.7
2001-01-01,55970.3
2002-01-01,58033.8
2003-01-01,62865.4
2004-01-01,69696.5
2005-01-01,73662.3
2006-01-01,77396.5
2007-01-01,80543.4
2008-01-01,83691.3
2009-01-01,81990.3
2010-01-01,84037.9
2011-01-01,86683.3
2012-01-01,87644.8
2013-01-01,88533.0
2014-01-01,92586.3
2015-01-01,91322.0
2016-01-01,91240.2
2017-01-01,94456.7
2018-01-01,100079.9
2019-01-01,105143.4
2020-01-01,100310.1
