DATE,WVNGSP
1997-01-01,38808.2
1998-01-01,40053.8
1999-01-01,41796.4
2000-01-01,42577.4
2001-01-01,43982.8
2002-01-01,45433.6
2003-01-01,46747.5
2004-01-01,49280.5
2005-01-01,53292.7
2006-01-01,56578.0
2007-01-01,58628.8
2008-01-01,61994.1
2009-01-01,63032.5
2010-01-01,65304.7
2011-01-01,68446.8
2012-01-01,69335.6
2013-01-01,70998.6
2014-01-01,71769.1
2015-01-01,70815.9
2016-01-01,70006.2
2017-01-01,72853.1
2018-01-01,77632.5
2019-01-01,78863.9
2020-01-01,73709.2
