DATE,KYNGSP
1997-01-01,104538.2
1998-01-01,109396.4
1999-01-01,114994.2
2000-01-01,114099.1
2001-01-01,117335.8
2002-01-01,122215.8
2003-01-01,127174.2
2004-01-01,134190.8
2005-01-01,142708.0
2006-01-01,151185.8
2007-01-01,154542.4
2008-01-01,158209.2
2009-01-01,156038.5
2010-01-01,164820.3
2011-01-01,170004.7
2012-01-01,176323.1
2013-01-01,182470.7
2014-01-01,186419.0
2015-01-01,192819.3
2016-01-01,195840.2
2017-01-01,200345.5
2018-01-01,207849.4
2019-01-01,215398.9
2020-01-01,210024.2
