DATE,MSNGSP
1997-01-01,58383.4
1998-01-01,60962.4
1999-01-01,63818.9
2000-01-01,65600.1
2001-01-01,67136.5
2002-01-01,69042.5
2003-01-01,73587.2
2004-01-01,77297.6
2005-01-01,81224.5
2006-01-01,86064.5
2007-01-01,91219.5
2008-01-01,96921.1
2009-01-01,93502.9
2010-01-01,95265.4
2011-01-01,96408.1
2012-01-01,99616.3
2013-01-01,101474.2
2014-01-01,103519.8
2015-01-01,105427.9
2016-01-01,106492.9
2017-01-01,109431.1
2018-01-01,113578.5
2019-01-01,115971.3
2020-01-01,114200.6
