DATE,VANGSP
1997-01-01,215126.0
1998-01-01,231505.4
1999-01-01,249106.3
2000-01-01,267618.0
2001-01-01,284396.6
2002-01-01,293399.4
2003-01-01,310132.7
2004-01-01,332668.5
2005-01-01,360842.3
2006-01-01,378981.2
2007-01-01,392929.0
2008-01-01,400305.5
2009-01-01,409441.9
2010-01-01,423563.9
2011-01-01,433009.6
2012-01-01,445120.7
2013-01-01,455166.9
2014-01-01,464514.4
2015-01-01,484530.8
2016-01-01,496570.2
2017-01-01,511876.3
2018-01-01,533510.4
2019-01-01,556905.2
2020-01-01,551760.3
