DATE,NCNGSP
1997-01-01,234009.7
1998-01-01,246928.6
1999-01-01,264836.2
2000-01-01,277994.1
2001-01-01,288184.8
2002-01-01,297906.7
2003-01-01,309351.3
2004-01-01,327275.9
2005-01-01,351337.3
2006-01-01,382799.0
2007-01-01,396632.2
2008-01-01,413064.9
2009-01-01,406832.9
2010-01-01,415710.0
2011-01-01,426569.3
2012-01-01,439539.7
2013-01-01,455266.8
2014-01-01,476260.2
2015-01-01,502808.4
2016-01-01,520356.6
2017-01-01,541040.7
2018-01-01,567451.7
2019-01-01,591600.9
2020-01-01,586136.2
