DATE,NHNGSP
1997-01-01,38211.6
1998-01-01,40566.7
1999-01-01,41873.3
2000-01-01,45222.8
2001-01-01,46625.8
2002-01-01,48691.9
2003-01-01,51378.2
2004-01-01,54125.9
2005-01-01,56346.8
2006-01-01,59395.5
2007-01-01,60711.2
2008-01-01,60865.3
2009-01-01,61908.9
2010-01-01,64170.7
2011-01-01,65449.6
2012-01-01,67635.7
2013-01-01,69495.5
2014-01-01,72304.4
2015-01-01,75832.0
2016-01-01,78509.0
2017-01-01,80838.4
2018-01-01,84584.1
2019-01-01,87634.1
2020-01-01,85109.3
