DATE,GANGSP
1997-01-01,242681.6
1998-01-01,265321.7
1999-01-01,289446.6
2000-01-01,306019.9
2001-01-01,317271.2
2002-01-01,326670.1
2003-01-01,340627.0
2004-01-01,364229.0
2005-01-01,386999.9
2006-01-01,402501.1
2007-01-01,414779.6
2008-01-01,411851.7
2009-01-01,406066.3
2010-01-01,414664.0
2011-01-01,427826.9
2012-01-01,443566.1
2013-01-01,459578.7
2014-01-01,485282.5
2015-01-01,515753.0
2016-01-01,541292.2
2017-01-01,568398.9
2018-01-01,602023.9
2019-01-01,625713.6
2020-01-01,619240.0
