DATE,RINGSP
1997-01-01,28922.8
1998-01-01,30821.2
1999-01-01,32284.0
2000-01-01,34520.9
2001-01-01,35981.9
2002-01-01,38110.6
2003-01-01,40249.7
2004-01-01,43218.3
2005-01-01,45133.1
2006-01-01,47684.8
2007-01-01,47759.9
2008-01-01,47078.4
2009-01-01,47906.6
2010-01-01,49472.4
2011-01-01,50169.8
2012-01-01,51607.4
2013-01-01,52797.5
2014-01-01,54297.7
2015-01-01,56560.7
2016-01-01,57529.4
2017-01-01,58117.2
2018-01-01,59924.6
2019-01-01,61883.8
2020-01-01,60224.7
