DATE,ARNGSP
1997-01-01,59826.9
1998-01-01,62397.8
1999-01-01,66791.2
2000-01-01,68740.4
2001-01-01,70680.3
2002-01-01,73986.5
2003-01-01,78306.3
2004-01-01,84557.0
2005-01-01,89643.1
2006-01-01,94451.6
2007-01-01,96991.9
2008-01-01,99014.4
2009-01-01,96983.7
2010-01-01,100970.8
2011-01-01,105107.8
2012-01-01,107718.8
2013-01-01,112764.6
2014-01-01,116151.8
2015-01-01,117734.3
2016-01-01,119191.8
2017-01-01,122978.5
2018-01-01,127761.3
2019-01-01,130954.1
2020-01-01,129073.9
