DATE,ALNGSP
1997-01-01,104716.9
1998-01-01,110181.3
1999-01-01,115833.1
2000-01-01,120132.9
2001-01-01,123035.3
2002-01-01,128117.4
2003-01-01,133969.3
2004-01-01,146886.7
2005-01-01,156403.3
2006-01-01,164347.8
2007-01-01,170263.9
2008-01-01,172677.2
2009-01-01,169128.5
2010-01-01,175470.1
2011-01-01,181929.9
2012-01-01,186553.9
2013-01-01,192166.5
2014-01-01,195037.7
2015-01-01,200197.5
2016-01-01,204454.7
2017-01-01,210895.7
2018-01-01,221030.7
2019-01-01,228142.6
2020-01-01,224870.6
