DATE,NDNGSP
1997-01-01,15767.7
1998-01-01,16826.2
1999-01-01,17017.3
2000-01-01,18013.5
2001-01-01,18960.6
2002-01-01,20229.1
2003-01-01,22072.5
2004-01-01,23151.9
2005-01-01,24461.1
2006-01-01,26209.0
2007-01-01,28781.7
2008-01-01,31852.1
2009-01-01,32239.7
2010-01-01,35689.4
2011-01-01,41437.5
2012-01-01,51624.6
2013-01-01,53733.4
2014-01-01,58679.9
2015-01-01,55069.1
2016-01-01,50792.3
2017-01-01,52607.1
2018-01-01,56286.8
2019-01-01,57180.9
2020-01-01,54032.9
