DATE,IANGSP
1997-01-01,82731.1
1998-01-01,84676.6
1999-01-01,87796.0
2000-01-01,93189.8
2001-01-01,94973.4
2002-01-01,99123.2
2003-01-01,105020.4
2004-01-01,116834.4
2005-01-01,122256.2
2006-01-01,127052.6
2007-01-01,137179.9
2008-01-01,137116.2
2009-01-01,136819.9
2010-01-01,142016.7
2011-01-01,148102.2
2012-01-01,157838.6
2013-01-01,161583.0
2014-01-01,172121.9
2015-01-01,179459.2
2016-01-01,179939.8
2017-01-01,182151.3
2018-01-01,190147.0
2019-01-01,194658.1
2020-01-01,192710.2
