DATE,AKNGSP
1997-01-01,25800.0
1998-01-01,24227.6
1999-01-01,24779.3
2000-01-01,26815.8
2001-01-01,28455.4
2002-01-01,29633.4
2003-01-01,31789.7
2004-01-01,34987.9
2005-01-01,39788.7
2006-01-01,44457.1
2007-01-01,49002.6
2008-01-01,54759.0
2009-01-01,49651.6
2010-01-01,52947.7
2011-01-01,56333.9
2012-01-01,57717.5
2013-01-01,56625.3
2014-01-01,55750.6
2015-01-01,50728.1
2016-01-01,49755.6
2017-01-01,51737.0
2018-01-01,54292.9
2019-01-01,54385.6
2020-01-01,50246.7
