DATE,NJNGSP
1997-01-01,307689.0
1998-01-01,319679.8
1999-01-01,336470.9
2000-01-01,361845.3
2001-01-01,373600.0
2002-01-01,388278.1
2003-01-01,404967.3
2004-01-01,422633.4
2005-01-01,440493.8
2006-01-01,464317.7
2007-01-01,480445.0
2008-01-01,494855.4
2009-01-01,486209.5
2010-01-01,494977.8
2011-01-01,498959.3
2012-01-01,519569.0
2013-01-01,537346.4
2014-01-01,545465.3
2015-01-01,569116.5
2016-01-01,581504.4
2017-01-01,590696.6
2018-01-01,612979.3
2019-01-01,634783.6
2020-01-01,619061.1
