DATE,HINGSP
1997-01-01,37700.7
1998-01-01,37621.7
1999-01-01,39246.9
2000-01-01,41519.9
2001-01-01,42982.8
2002-01-01,45449.9
2003-01-01,48922.8
2004-01-01,53761.1
2005-01-01,58658.7
2006-01-01,62349.9
2007-01-01,65223.8
2008-01-01,66857.7
2009-01-01,65711.3
2010-01-01,68260.2
2011-01-01,70630.1
2012-01-01,73676.7
2013-01-01,75807.8
2014-01-01,77819.3
2015-01-01,82644.0
2016-01-01,85899.9
2017-01-01,89618.6
2018-01-01,93100.5
2019-01-01,95744.3
2020-01-01,89856.2
