DATE,DENGSP
1997-01-01,33400.0
1998-01-01,37065.1
1999-01-01,40427.3
2000-01-01,43515.9
2001-01-01,46555.9
2002-01-01,45828.2
2003-01-01,47731.3
2004-01-01,51337.7
2005-01-01,52028.2
2006-01-01,54956.7
2007-01-01,56281.3
2008-01-01,54777.6
2009-01-01,57267.3
2010-01-01,57986.7
2011-01-01,60821.8
2012-01-01,61866.7
2013-01-01,61007.5
2014-01-01,67549.8
2015-01-01,71547.8
2016-01-01,69284.2
2017-01-01,69899.4
2018-01-01,74186.7
2019-01-01,77082.4
2020-01-01,75512.5
