DATE,MDNGSP
1997-01-01,159331.2
1998-01-01,169965.4
1999-01-01,180191.2
2000-01-01,192019.8
2001-01-01,205567.2
2002-01-01,218326.8
2003-01-01,228734.3
2004-01-01,246682.0
2005-01-01,266065.2
2006-01-01,279423.6
2007-01-01,287759.7
2008-01-01,296325.5
2009-01-01,302388.8
2010-01-01,316316.9
2011-01-01,327726.7
2012-01-01,334555.5
2013-01-01,340706.2
2014-01-01,353248.7
2015-01-01,370768.3
2016-01-01,387620.2
2017-01-01,399737.6
2018-01-01,411619.1
2019-01-01,426747.4
2020-01-01,422726.4
