DATE,OKNGSP
1997-01-01,79044.3
1998-01-01,81208.0
1999-01-01,84089.8
2000-01-01,90893.0
2001-01-01,96759.9
2002-01-01,99151.0
2003-01-01,105130.0
2004-01-01,112872.2
2005-01-01,124370.4
2006-01-01,136949.6
2007-01-01,144799.5
2008-01-01,159761.3
2009-01-01,145858.2
2010-01-01,153215.1
2011-01-01,165091.4
2012-01-01,173238.8
2013-01-01,181858.2
2014-01-01,193546.4
2015-01-01,184140.4
2016-01-01,177813.0
2017-01-01,185485.6
2018-01-01,198595.8
2019-01-01,202036.1
2020-01-01,186581.4
