DATE,CTNGSP
1997-01-01,138548.4
1998-01-01,145432.7
1999-01-01,152353.9
2000-01-01,165822.4
2001-01-01,172834.5
2002-01-01,176191.6
2003-01-01,181230.3
2004-01-01,198282.4
2005-01-01,208660.9
2006-01-01,222914.3
2007-01-01,237397.6
2008-01-01,240576.2
2009-01-01,236921.6
2010-01-01,238051.6
2011-01-01,236816.3
2012-01-01,244114.4
2013-01-01,244127.5
2014-01-01,248778.9
2015-01-01,262372.7
2016-01-01,266747.3
2017-01-01,272569.9
2018-01-01,279782.3
2019-01-01,287822.2
2020-01-01,280900.3
