DATE,WYNGSP
1997-01-01,14708.7
1998-01-01,14883.8
1999-01-01,15715.0
2000-01-01,17191.8
2001-01-01,18691.2
2002-01-01,19149.7
2003-01-01,21057.8
2004-01-01,23220.1
2005-01-01,27219.2
2006-01-01,32455.9
2007-01-01,36613.5
2008-01-01,42550.2
2009-01-01,36085.6
2010-01-01,37442.6
2011-01-01,39415.2
2012-01-01,38437.7
2013-01-01,38943.0
2014-01-01,39431.7
2015-01-01,37860.7
2016-01-01,35704.0
2017-01-01,37271.2
2018-01-01,39703.2
2019-01-01,40420.1
2020-01-01,36241.5
