DATE,IDNGSP
1997-01-01,29523.9
1998-01-01,31099.0
1999-01-01,34252.3
2000-01-01,38130.6
2001-01-01,37493.8
2002-01-01,38820.0
2003-01-01,40417.7
2004-01-01,43865.9
2005-01-01,47958.1
2006-01-01,50985.5
2007-01-01,53864.9
2008-01-01,55584.4
2009-01-01,53763.9
2010-01-01,55215.3
2011-01-01,56516.4
2012-01-01,57780.1
2013-01-01,61155.2
2014-01-01,63799.4
2015-01-01,66082.0
2016-01-01,69075.5
2017-01-01,73286.5
2018-01-01,79090.8
2019-01-01,83665.5
2020-01-01,84032.2
