DATE,WINGSP
1997-01-01,153424.9
1998-01-01,162616.5
1999-01-01,172328.7
2000-01-01,180616.3
2001-01-01,187974.0
2002-01-01,194844.9
2003-01-01,203048.5
2004-01-01,215016.8
2005-01-01,225590.7
2006-01-01,235848.0
2007-01-01,243841.3
2008-01-01,244634.3
2009-01-01,245518.6
2010-01-01,254615.2
2011-01-01,264166.4
2012-01-01,274540.5
2013-01-01,281832.6
2014-01-01,293836.7
2015-01-01,306498.9
2016-01-01,313440.2
2017-01-01,320610.0
2018-01-01,337553.1
2019-01-01,349416.5
2020-01-01,338678.4
