DATE,AZNGSP
1997-01-01,132290.9
1998-01-01,143286.2
1999-01-01,155282.6
2000-01-01,164609.9
2001-01-01,171480.5
2002-01-01,179475.6
2003-01-01,192764.8
2004-01-01,205390.5
2005-01-01,228232.6
2006-01-01,248154.2
2007-01-01,262245.3
2008-01-01,259262.6
2009-01-01,243764.6
2010-01-01,248125.3
2011-01-01,257881.1
2012-01-01,268068.2
2013-01-01,275007.5
2014-01-01,284851.4
2015-01-01,298615.0
2016-01-01,313056.5
2017-01-01,330146.6
2018-01-01,350718.3
2019-01-01,370119.1
2020-01-01,372461.0
