DATE,TNNGSP
1997-01-01,154366.8
1998-01-01,167439.9
1999-01-01,176083.2
2000-01-01,182089.1
2001-01-01,185855.0
2002-01-01,195331.6
2003-01-01,203328.4
2004-01-01,217939.2
2005-01-01,228126.3
2006-01-01,240111.1
2007-01-01,244194.2
2008-01-01,251549.8
2009-01-01,250379.4
2010-01-01,255696.1
2011-01-01,267487.6
2012-01-01,283482.0
2013-01-01,293265.3
2014-01-01,303788.8
2015-01-01,323658.5
2016-01-01,334435.7
2017-01-01,346283.0
2018-01-01,362737.1
2019-01-01,376582.4
2020-01-01,364485.9
