DATE,ILNGSP
1997-01-01,415771.9
1998-01-01,436648.6
1999-01-01,460242.3
2000-01-01,486766.2
2001-01-01,501155.5
2002-01-01,513611.5
2003-01-01,530142.9
2004-01-01,561037.0
2005-01-01,589149.4
2006-01-01,623471.2
2007-01-01,648243.6
2008-01-01,648732.0
2009-01-01,645146.7
2010-01-01,661714.8
2011-01-01,687951.0
2012-01-01,720881.5
2013-01-01,734808.5
2014-01-01,766120.8
2015-01-01,795326.1
2016-01-01,803943.7
2017-01-01,823776.2
2018-01-01,863039.5
2019-01-01,885583.0
2020-01-01,863516.7
