DATE,NENGSP
1997-01-01,49945.6
1998-01-01,51917.2
1999-01-01,53704.7
2000-01-01,56541.1
2001-01-01,59598.4
2002-01-01,61622.3
2003-01-01,66402.1
2004-01-01,70320.2
2005-01-01,74120.0
2006-01-01,78283.1
2007-01-01,83299.6
2008-01-01,85661.3
2009-01-01,87107.4
2010-01-01,91785.5
2011-01-01,99954.2
2012-01-01,102605.3
2013-01-01,106516.8
2014-01-01,111386.8
2015-01-01,115663.9
2016-01-01,116879.2
2017-01-01,120949.7
2018-01-01,124705.4
2019-01-01,130011.8
2020-01-01,128808.7
