DATE,LANGSP
1997-01-01,116426.3
1998-01-01,120338.4
1999-01-01,125894.7
2000-01-01,132709.5
2001-01-01,137847.7
2002-01-01,139566.7
2003-01-01,154449.3
2004-01-01,169836.2
2005-01-01,197783.5
2006-01-01,205888.0
2007-01-01,206602.3
2008-01-01,215289.0
2009-01-01,207119.8
2010-01-01,226161.8
2011-01-01,229215.1
2012-01-01,233481.2
2013-01-01,228688.3
2014-01-01,237717.1
2015-01-01,231751.8
2016-01-01,223409.5
2017-01-01,235712.2
2018-01-01,253236.1
2019-01-01,256918.5
2020-01-01,241990.8
